=== ps aux top 200 ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       17469  0.1  0.5 1322120 84996 ?       Ssl  Feb28   3:02 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
ollama     73431  0.0  0.2 2010848 36192 ?       Ssl  04:00   0:00 /usr/local/bin/ollama serve
root         431  0.0  0.1  66900 31016 ?        S<s  Feb28   0:54 /usr/lib/systemd/systemd-journald
root       13155  0.0  0.1 223416 27160 ?        SLsl Feb28   0:13 /sbin/multipathd -d -s
root        1138  0.0  0.1 109688 23136 ?        Ssl  Feb28   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root           1  0.0  0.0  22700 13908 ?        Ss   Feb28   0:25 /sbin/init vultr
root        1056  0.0  0.0 468956 13532 ?        Ssl  Feb28   0:03 /usr/libexec/udisks2/udisksd
systemd+   29847  0.0  0.0  21584 13288 ?        Ss   Mar01   0:00 /usr/lib/systemd/systemd-resolved
root       13180  0.0  0.0 392032 12900 ?        Ssl  Feb28   0:00 /usr/sbin/ModemManager
kayle      76578  0.0  0.0  20256 11484 ?        Ss   04:32   0:00 /usr/lib/systemd/systemd --user
polkitd    13164  0.0  0.0 313336 10796 ?        Ssl  Feb28   0:03 /usr/lib/polkit-1/polkitd --no-debug
root       79551  0.0  0.0  15088 10792 ?        Ss   05:58   0:00 sshd: kayle [priv]
root       81929  0.0  0.0  14704 10112 ?        Ss   07:13   0:00 sshd: unknown [priv]
root       81932  0.0  0.0  14704 10092 ?        Ss   07:13   0:00 sshd: unknown [priv]
root       81944  0.0  0.0  14572 10020 ?        Ss   07:14   0:00 sshd: unknown [priv]
systemd+     926  0.0  0.0  22016  9984 ?        Ss   Feb28   0:00 /usr/lib/systemd/systemd-networkd
root       81892  0.0  0.0  14572  9952 ?        Ss   07:13   0:00 sshd: root [priv]
root       81940  0.0  0.0  14204  9868 ?        Ss   07:14   0:00 sshd: root [priv]
root       81989  0.3  0.0  14204  9788 ?        Ss   07:14   0:00 sshd: root [priv]
root        1575  0.0  0.0 313956  9124 ?        Ssl  Feb28   0:00 /usr/libexec/upowerd
root        1049  0.0  0.0  18148  9076 ?        Ss   Feb28   0:00 /usr/lib/systemd/systemd-logind
root       81958  0.0  0.0  12152  8572 ?        Ss   07:14   0:00 sshd: [accepted]
root       81961  0.0  0.0  12152  8568 ?        Ss   07:14   0:00 sshd: [accepted]
root       81979  0.0  0.0  12152  8436 ?        Ss   07:14   0:00 sshd: [accepted]
root       81975  0.0  0.0  12152  8356 ?        Ss   07:14   0:00 sshd: [accepted]
root       81984  0.0  0.0  12152  8288 ?        Ss   07:14   0:00 sshd: [accepted]
root        1092  0.0  0.0  12024  8284 ?        Ss   Feb28   0:21 sshd: /usr/sbin/sshd -D [listener] 12 of 10-100 startups
root       81994  0.0  0.0  12152  8284 ?        Ss   07:14   0:00 sshd: [accepted]
root         494  0.0  0.0  29432  8232 ?        Ss   Feb28   0:00 /usr/lib/systemd/systemd-udevd
systemd+     733  0.0  0.0  91028  7912 ?        Ssl  Feb28   0:00 /usr/lib/systemd/systemd-timesyncd
kayle      79619  0.0  0.0  15408  7504 ?        S    05:59   0:00 sshd: kayle@pts/3
sshd       81941  0.0  0.0  12152  6368 ?        S    07:14   0:00 sshd: unknown [net]
sshd       81893  0.0  0.0  12156  6328 ?        S    07:13   0:00 sshd: root [net]
sshd       81990  0.0  0.0  12156  6324 ?        S    07:14   0:00 sshd: root [net]
syslog      3591  0.0  0.0 222508  6320 ?        Ssl  Feb28   0:16 /usr/sbin/rsyslogd -n -iNONE
sshd       81947  0.0  0.0  12156  6228 ?        S    07:14   0:00 sshd: unknown [net]
sshd       81976  0.0  0.0  12152  6212 ?        S    07:14   0:00 sshd: [net]
sshd       81968  0.0  0.0  12152  6208 ?        S    07:14   0:00 sshd: [net]
sshd       81953  0.0  0.0  12152  6184 ?        S    07:14   0:00 sshd: unknown [net]
sshd       81950  0.0  0.0  12152  6148 ?        S    07:14   0:00 sshd: root [net]
message+    1023  0.0  0.0  10040  5828 ?        Ss   Feb28   0:02 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sshd       81985  0.0  0.0  12152  5804 ?        S    07:14   0:00 sshd: [net]
sshd       81988  0.0  0.0  12152  5772 ?        S    07:14   0:00 sshd: [net]
kayle      79620  0.0  0.0   8648  5632 pts/3    Ss   05:59   0:00 -bash
kayle      82010  0.0  0.0  10884  4624 pts/3    R+   07:14   0:00 ps aux --sort=-%mem
kayle      76579  0.0  0.0  21276  3596 ?        S    04:32   0:00 (sd-pam)
root        1022  0.0  0.0   6824  2904 ?        Ss   Feb28   0:00 /usr/sbin/cron -f -P
root        1249  0.0  0.0   2744  2728 ?        SLs  Feb28   0:15 /usr/sbin/watchdog
root        1021  0.0  0.0   6072  2640 tty4     Ss+  Feb28   0:00 /usr/bin/less /var/log/cloud-init.log
kayle      82011  0.0  0.0   5696  2052 pts/3    S+   07:14   0:00 head -n 200
root        1218  0.0  0.0   6104  2044 tty1     Ss+  Feb28   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root           2  0.0  0.0      0     0 ?        S    Feb28   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    Feb28   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    Feb28   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    Feb28   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    Feb28   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    Feb28   0:09 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    Feb28   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/2]
root          24  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/4]
root          30  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/4]
root          33  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/6]
root          36  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/6]
root          38  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/1]
root          40  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/1]
root          41  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/1]
root          42  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/1]
root          44  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/1:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/3]
root          46  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/3]
root          47  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/3]
root          48  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/3]
root          50  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/3:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/5]
root          52  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/5]
root          53  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/5]
root          54  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/5]
root          56  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/5:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    Feb28   0:00 [cpuhp/7]
root          58  0.0  0.0      0     0 ?        S    Feb28   0:00 [idle_inject/7]
root          59  0.0  0.0      0     0 ?        S    Feb28   0:01 [migration/7]
root          60  0.0  0.0      0     0 ?        S    Feb28   0:00 [ksoftirqd/7]
root          62  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/7:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    Feb28   0:00 [kdevtmpfs]
